Name,ShortName,LevelType,CityCode,ZipCode,MergerName,lng,Lat,Pinyin
昌吉回族自治州,昌吉,2,994,831100,中国-新疆维吾尔自治区-昌吉回族自治州,87.304012,44.014577,Changji
昌吉市,昌吉,3,994,831100,中国-新疆维吾尔自治区-昌吉回族自治州-昌吉市,87.30249,44.01267,Changji
阜康市,阜康,3,994,831500,中国-新疆维吾尔自治区-昌吉回族自治州-阜康市,87.98529,44.1584,Fukang
呼图壁县,呼图壁,3,994,831200,中国-新疆维吾尔自治区-昌吉回族自治州-呼图壁县,86.89892,44.18977,Hutubi
玛纳斯县,玛纳斯,3,994,832200,中国-新疆维吾尔自治区-昌吉回族自治州-玛纳斯县,86.2145,44.30438,Manasi
奇台县,奇台,3,994,831800,中国-新疆维吾尔自治区-昌吉回族自治州-奇台县,89.5932,44.02221,Qitai
吉木萨尔县,吉木萨尔,3,994,831700,中国-新疆维吾尔自治区-昌吉回族自治州-吉木萨尔县,89.18078,44.00048,Jimusaer
木垒哈萨克自治县,木垒,3,994,831900,中国-新疆维吾尔自治区-昌吉回族自治州-木垒哈萨克自治县,90.28897,43.83508,Mulei
博尔塔拉蒙古自治州,博尔塔拉,2,909,833400,中国-新疆维吾尔自治区-博尔塔拉蒙古自治州,82.074778,44.903258,Bortala
博乐市,博乐,3,909,833400,中国-新疆维吾尔自治区-博尔塔拉蒙古自治州-博乐市,82.0713,44.90052,Bole
阿拉山口市,阿拉山口,3,909,833400,中国-新疆维吾尔自治区-博尔塔拉蒙古自治州-阿拉山口市,82.567721,45.170616,Alashankou
精河县,精河,3,909,833300,中国-新疆维吾尔自治区-博尔塔拉蒙古自治州-精河县,82.89419,44.60774,Jinghe
温泉县,温泉,3,909,833500,中国-新疆维吾尔自治区-博尔塔拉蒙古自治州-温泉县,81.03134,44.97373,Wenquan
巴音郭楞蒙古自治州,巴音郭楞,2,996,841000,中国-新疆维吾尔自治区-巴音郭楞蒙古自治州,86.150969,41.768552,Bayingol
库尔勒市,库尔勒,3,996,841000,中国-新疆维吾尔自治区-巴音郭楞蒙古自治州-库尔勒市,86.15528,41.76602,Kuerle
轮台县,轮台,3,996,841600,中国-新疆维吾尔自治区-巴音郭楞蒙古自治州-轮台县,84.26101,41.77642,Luntai
尉犁县,尉犁,3,996,841500,中国-新疆维吾尔自治区-巴音郭楞蒙古自治州-尉犁县,86.25903,41.33632,Yuli
